UID          PID    PPID  C STIME TTY          TIME CMD
avahi       1991    1962  0  2023 ?        00:00:00 avahi-daemon: chroot helper
root        1995       1  0  2023 ?        00:01:57 /usr/sbin/ModemManager
dbus        2009       1  0  2023 ?        01:59:43 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root        2089       1  0  2023 ?        00:04:28 /usr/bin/python2 -Es /usr/sbin/firewalld --nofork --nopid
root        2093       1  0  2023 ?        01:26:09 /bin/bash /usr/sbin/ksmtuned
root        2095       2  0  2023 ?        00:22:35 [kworker/6:1H]
root        2146       2  0  2023 ?        00:00:00 [mlx4_en]
root        2185       2  0  2023 ?        05:55:29 [kworker/5:1H]
root        2226       2  0  2023 ?        00:00:00 [mlx5_ib_sigerr_]
root        2315       2  0  2023 ?        00:00:00 [ipoib_wq]
root        2396       2  0  2023 ?        00:00:00 [rdma_cm]
root        2817       1  0  2023 ?        01:12:42 /usr/bin/python2 -Es /usr/sbin/tuned -l -P
root        2819       1  0  2023 ?        00:00:00 /usr/sbin/xinetd -stayalive -pidfile /var/run/xinetd.pid
root        2822       1  0  2023 ?        00:00:44 /usr/sbin/sshd -D
root        2844       1  0  2023 ?        00:00:00 /usr/sbin/cupsd -f
root        2858       1  0  2023 ?        00:42:29 /usr/sbin/rsyslogd -n
rpcuser     2893       1  0  2023 ?        00:00:00 /usr/sbin/rpc.statd
root        2896       1  0  2023 ?        00:00:00 sh /usr/local/MegaRAID Storage Manager/Framework/startup.sh
root        2898    2896  0  2023 ?        09:22:58 ../jre/bin/java -classpath ../jre/lib/rt.jar:../jre/lib/jsse.jar:../jre/lib/jce.jar:mail.jar:Framework.jar -Djava.library.path=. Framework.FrameworkManager
root        2958       1  0  2023 ?        00:07:18 /usr/sbin/rpc.mountd
root        2967       1  0  2023 ?        1-08:50:30 /usr/bin/python2 -s /usr/bin/fail2ban-server -xf start
root        3065       1  0  2023 ?        00:30:27 /usr/sbin/httpd -DFOREGROUND
root        3088       1  0  2023 ?        00:00:02 /usr/sbin/libvirtd
root        3109       1  0  2023 ?        00:17:36 /usr/sbin/automount --systemd-service --dont-check-daemon
root        3188       1  0  2023 ?        00:00:00 /usr/sbin/atd -f
root        3205       1  0  2023 ?        00:02:14 /usr/sbin/crond -n
root        3240       1  0  2023 ?        13:40:37 /opt/teamviewer/tv_bin/teamviewerd -d
squid       3275       1  0  2023 ?        00:00:00 /usr/sbin/squid
squid       3278    3275  0  2023 ?        05:31:04 (squid-1) --kid squid-1
squid       3285    3278  0  2023 ?        00:07:03 (logfile-daemon) /var/log/squid/access.log
squid       3287    3278  0  2023 ?        00:05:05 (unlinkd)
root        3413       2  0  2023 ?        00:21:54 [kworker/2:1H]
root        3420       2  0  2023 ?        00:00:00 [nfsd4_callbacks]
root        3423       2  0  2023 ?        00:00:00 [lockd]
root        3427       2  0  2023 ?        1-03:30:36 [nfsd]
root        3428       2  0  2023 ?        1-07:12:04 [nfsd]
root        3429       2  0  2023 ?        1-12:20:56 [nfsd]
root        3430       2  0  2023 ?        1-20:10:44 [nfsd]
root        3431       2  0  2023 ?        2-09:30:18 [nfsd]
root        3432       2  0  2023 ?        3-12:28:20 [nfsd]
root        3433       2  1  2023 ?        6-18:55:13 [nfsd]
root        3434       2  4  2023 ?        14-21:22:01 [nfsd]
mysql       3435       1  0  2023 ?        00:00:00 /bin/sh /usr/bin/mysqld_safe --basedir=/usr
condor      3625       1  0  2023 ?        00:22:07 /usr/sbin/condor_master -f
